# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
213,8_7,Role 1,7,0.57,1
214,3_27,SYSTEM,3,0.0,1
214,3_27,Role 1,27,0.15,1
215,5_6,SYSTEM,5,0.0,1
215,5_6,Role 1,6,0.66,1
216,2_24,SYSTEM,2,0.0,1
216,2_24,Role 1,24,0.17,1
217,111_4,SYSTEM,111,0.0,1
217,111_4,Role 1,4,0.98,1
218,22_40,SYSTEM,22,0.0,1
218,22_40,Role 1,40,0.1,1
219,12_82,SYSTEM,12,0.0,1
219,12_82,Role 1,82,0.05,1
220,28_7,SYSTEM,28,0.0,1
220,28_7,Role 1,7,0.57,1
221,2_10,SYSTEM,2,0.0,1
221,2_10,Role 1,10,0.4,1
222,6_5,SYSTEM,6,0.0,1
222,6_5,Role 1,5,0.81,1
223,21_10,SYSTEM,21,0.0,1
223,21_10,Role 1,10,0.4,1
224,12_21,SYSTEM,12,0.0,1
224,12_21,Role 1,21,0.19,1
225,27_45,SYSTEM,27,0.0,1
225,27_45,Role 1,45,0.09,1
226,3_90,SYSTEM,3,0.0,1
226,3_90,Role 1,90,0.05,1
227,8_41,SYSTEM,8,0.0,1
227,8_41,Role 1,41,0.1,1
228,11_4,SYSTEM,11,0.0,1
228,11_4,Role 1,4,0.98,1
229,11_32,SYSTEM,11,0.0,1
229,11_32,Role 1,32,0.13,1
230,5_57,SYSTEM,5,0.0,1
230,5_57,Role 1,57,0.07,1
231,6_33,SYSTEM,6,0.0,1
231,6_33,Role 1,33,0.12,1
232,107_95,SYSTEM,107,0.0,1
232,107_95,Role 1,95,0.04,1
233,3_17,SYSTEM,3,0.0,1
233,3_17,Role 1,17,0.23,1
234,117_40,SYSTEM,117,0.0,1
234,117_40,Role 1,40,0.1,1
235,7_5,SYSTEM,7,0.0,1
235,7_5,Role 1,5,0.79,1
236,1_58,SYSTEM,1,0.0,1
236,1_58,Role 1,58,0.07,1
237,9_8,SYSTEM,9,0.0,1
237,9_8,Role 1,8,0.5,1
238,5_5,SYSTEM,5,0.0,1
238,5_5,Role 1,5,0.79,1
239,1_49,SYSTEM,1,0.0,1
239,1_49,Role 1,49,0.08,1
240,7_16,SYSTEM,7,0.0,1
240,7_16,Role 1,16,0.24,1
241,2_5,SYSTEM,2,0.0,1
241,2_5,Role 1,5,0.8,1
242,3_7,SYSTEM,3,0.0,1
