Total Solutions Generated,509
Total Iterations,130

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
47,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 64512, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",20162512.005818546,2750468.989511233,20134547.356712,261394.1122364821,421313.7440290004
48,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 64512, 64512, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",20249136.706617635,2707594.816163925,20221051.912295,328965.4309384073,339717.6709509976
49,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 64512, 64512, 64512, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",19564845.756315887,2675383.171762504,19537710.047916,219275.28040483035,90233.49922499806
50,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[64512, 63488, 64512, 64512, 64512, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",19899826.87802633,2621470.6941608624,19872226.563355,269506.6843674327,421260.38755499944
51,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[64512, 64512, 64512, 64512, 64512, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",19560182.971649166,2578754.382859197,19533053.730357,346950.78800528916,342136.8958650008
52,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[64512, 64512, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",17572115.741420962,1837289.6169723785,17547743.874928,145982.13744409662,345855.6864989996
53,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 64512, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",19394755.455479164,2649896.848482309,19367855.655957,222552.81101014,244313.82450300083
54,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 64512, 64512, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",18960836.125854384,2741462.751919484,18934538.156193,234014.2403648398,432675.73260900006
55,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 64512, 64512, 63488, 64512, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",19043579.553905513,2543071.65434352,19017166.822208,211943.77455297532,164008.84830500185
56,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 64512, 64512, 64512, 64512, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",19390365.14362303,2651500.172583586,19363471.433299,199083.59746542573,348281.76023200154
