# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
108,28_5_35,Role 2,35,0.96,1
109,7_35_64,SYSTEM,7,0.0,1
109,7_35_64,Role 1,35,0.02,1
109,7_35_64,Role 2,64,0.93,1
110,11_3_49,SYSTEM,11,0.0,1
110,11_3_49,Role 1,3,0.18,1
110,11_3_49,Role 2,49,0.91,1
111,10_28_53,SYSTEM,10,0.0,1
111,10_28_53,Role 1,28,0.02,1
111,10_28_53,Role 2,53,0.93,1
112,28_34_63,SYSTEM,28,0.0,1
112,28_34_63,Role 1,34,0.02,1
112,28_34_63,Role 2,63,0.93,1
113,42_27_64,SYSTEM,42,0.0,1
113,42_27_64,Role 1,27,0.03,1
113,42_27_64,Role 2,64,0.92,1
114,7_14_64,SYSTEM,7,0.0,1
114,7_14_64,Role 1,14,0.05,1
114,7_14_64,Role 2,64,0.91,1
115,44_4_35,SYSTEM,44,0.0,1
115,44_4_35,Role 1,4,0.1,1
115,44_4_35,Role 2,35,0.93,1
116,50_66_47,SYSTEM,50,0.0,1
116,50_66_47,Role 1,66,0.01,1
116,50_66_47,Role 2,47,0.93,1
117,2_15_53,SYSTEM,2,0.0,1
117,2_15_53,Role 1,15,0.04,1
117,2_15_53,Role 2,53,0.92,1
118,7_4_65,SYSTEM,7,0.0,1
118,7_4_65,Role 1,4,0.18,1
118,7_4_65,Role 2,65,0.89,1
119,8_21_52,SYSTEM,8,0.0,1
119,8_21_52,Role 1,21,0.03,1
119,8_21_52,Role 2,52,0.93,1
120,50_58_61,SYSTEM,50,0.0,1
120,50_58_61,Role 1,58,0.01,1
120,50_58_61,Role 2,61,0.94,1
121,4_30_58,SYSTEM,4,0.0,1
121,4_30_58,Role 1,30,0.02,1
121,4_30_58,Role 2,58,0.94,1
122,4_8_29,SYSTEM,4,0.0,1
122,4_8_29,Role 1,8,0.04,1
122,4_8_29,Role 2,29,0.97,1
123,5_34_52,SYSTEM,5,0.0,1
123,5_34_52,Role 1,34,0.02,1
123,5_34_52,Role 2,52,0.86,1
124,3_19_50,SYSTEM,3,0.0,1
124,3_19_50,Role 1,19,0.03,1
124,3_19_50,Role 2,50,0.93,1
125,3_17_65,SYSTEM,3,0.0,1
125,3_17_65,Role 1,17,0.04,1
125,3_17_65,Role 2,65,0.89,1
126,5_33_66,SYSTEM,5,0.0,1
126,5_33_66,Role 1,33,0.02,1
126,5_33_66,Role 2,66,0.88,1
127,50_13_61,SYSTEM,50,0.0,1
127,50_13_61,Role 1,13,0.05,1
127,50_13_61,Role 2,61,0.92,1
128,41_2_63,SYSTEM,41,0.0,1
128,41_2_63,Role 1,2,0.33,1
128,41_2_63,Role 2,63,0.87,1
129,3_32_66,SYSTEM,3,0.0,1
129,3_32_66,Role 1,32,0.02,1
129,3_32_66,Role 2,66,0.87,1
